,budget,company,country,director,gross,name,rate,star,voter
1328,,"SBS Productions,Orange Cinéma Séries,Cinémage 6,See more »,",France,Pascal Bonitzer,,Cherchez Hortense (2012) ,6.2,"Jean-Pierre Bacri,Kristin Scott Thomas,Isabelle Carré,|,See full cast & crew,",744
1329,,"Pan Européenne,France 3 Cinéma,Rhône-Alpes Cinéma,See more »,","France,Italy",Zabou Breitman,"$5,564,",L'homme de sa vie (2006) ,6.7,"Bernard Campan,Charles Berling,Léa Drucker,|,See full cast & crew,",942
1330,"£250,000","New Lime Republic,See more »,",UK,Campbell Ex,,Stud Life (2012) ,5.8,"T'Nia Miller,Kyle Treslove,Robyn Kerr,|,See full cast & crew,",82
1331,,"Loin Derrière L'Oural,Canal+,CinéCinéma,See more »,",France,Pascal Rabaté,,Ni à vendre ni à louer (2011) ,5.7,"Jacques Gamblin,Maria de Medeiros,François Damiens,|,See full cast & crew,",312
1332,"$1,000,000","Traveling Buddha Productions,Untold the Film,See more »,",USA,Gina M. Garcia,,Untold (2014) ,6.7,"Terri Ivens,Melody Butiu,Jennifer Rubin,|,See full cast & crew,",27
1333,,"Just in Time Films,Ten West Productions,See more »,",USA,Ryan Bottiglieri,,Trim (2010) ,7.9,"Jonathan Wade-Drahos,Ryan Bottiglieri,Bruce Dern,|,See full cast & crew,",13
1334,,"Cattleya,Rai Cinema,The Producers Films,See more »,","Italy,UK",Cristina Comencini,,Il più bel giorno della mia vita (2002) ,7.0,"Virna Lisi,Margherita Buy,Sandra Ceccarelli,|,See full cast & crew,",903
1335,"IDR 2,000,000,000","Kalyana Shira Film,See more »,",Indonesia,Nia Di Nata,,Arisan! (2003) ,7.4,"Cut Mini Theo,Tora Sudiro,Aida Nurmala,|,See full cast & crew,",675
1336,,"Chain Camera Pictures,Red Envelope Entertainment,Tectonic Theater Project,See more »,",USA,Kirby Dick,"$44,416,",Outrage (2009) ,7.6,"Barney Frank,Tammy Baldwin,Wayne Barrett,|,See full cast & crew,","1,536"
1337,,"View Askew Productions,See more »,",USA,Malcolm Ingram,,Bear Nation (2010) ,6.3,,166
1338,,"Les Films du Poisson,Lama Films,Centre National de la Cinématographie (CNC),See more »,","France,Israel",Yossi Aviram,,La dune (2013) ,7.1,"Niels Arestrup,Lior Ashkenazi,Guy Marchand,|,See full cast & crew,",202
1339,,"Perfect Day Films,See more »,",USA,Timothy Greenfield-Sanders,,The Out List (2013) ,7.2,"Dustin Lance Black,R. Clarke Cooper,Wade Davis,|,See full cast & crew,",589
1340,,"Film Tonic,Realtime Films Inc.,Original Pictures,See more »,",Canada,Brad Fraser,,Leaving Metropolis (2002) ,6.2,"Troy Ruptash,Vince Corazza,Lynda Boyd,|,See full cast & crew,",574
1341,,,South Korea,,,One Night Only (2014) ,5.5,"Yoo-sang Jang,Bok-rae Jo,Yoo Min-Kyu,|,See full cast & crew,",31
1342,,"Silly Bunny Pictures,See more »,",USA,Paul Bright,,Abrupt Decision (2011) ,5.5,"Steve Callahan,David LaDuca,Cynthia Schiebel,|,See full cast & crew,",85
1343,,"Pecking Wilds,See more »,",USA,Jay Dockendorf,,Naz & Maalik (2015) ,5.7,"Kerwin Johnson Jr.,Curtiss Cook Jr.,Annie Grier,|,See full cast & crew,",250
1344,"NZD 1,600,000","Cinco Cine,Conbrio,See more »,",New Zealand,Katie Wolfe,,Nights in the Gardens of Spain (2010) ,6.1,"Calvin Tuteao,Nathalie Boltt,George Henare,|,See full cast & crew,",301
1345,,"Willing Suspension Films,See more »,",USA,Patrick McGuinn,,Sun Kissed (2006) ,4.3,"John Ort,Gregory Marcel,Laura Hofrichter,|,See full cast & crew,",364
1346,,"Good Sheep Productions,Kinekuma Pictures,See more »,","Indonesia,Thailand",Andri Cung,,"The Sun, The Moon & The Hurricane (2014) ",8.0,"Natalius Chendana,William Tjokro,Gesata Stella,|,See full cast & crew,",25
